sku,digikey_url,digikey_inventory,digikey_price,digikey_status,newark_url,newark_inventory,newark_price,newark_status,combined_inventory,InStock,combined_status,last_updated
781895-01,https://www.digikey.com/en/products/detail/ni/781895-01/18710639,0.0,1438.88,Active,https://www.newark.com/ni-emerson/781895-01/shc68-c68-multifunction-cable/dp/14AJ5430,0.0,1279.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781906-01,https://www.digikey.com/en/products/detail/ni/781906-01/16648861,0.0,6426.46,Obsolete,,,,,,False,Obsolete,12-22-2025
781907-01,https://www.digikey.com/en/products/detail/ni/781907-01/16648717,0.0,0.0,Obsolete,https://www.newark.com/ni/781907-01/ni-usrp-2921-2-45-ghz-software/dp/27AJ2441,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781908-01,https://www.digikey.com/en/products/detail/ni/781908-01/16648638,0.0,10007.48,Obsolete,,,,,,False,Obsolete,12-22-2025
781909-01,https://www.digikey.com/en/products/detail/ni/781909-01/16648373,0.0,6426.46,Obsolete,,,,,,False,Obsolete,12-22-2025
781910-01,https://www.digikey.com/en/products/detail/ni/781910-01/16648022,0.0,9029.39,Obsolete,,,,,,False,Obsolete,12-22-2025
781911-01,https://www.digikey.com/en/products/detail/ni/781911-01/16648287,0.0,8601.04,Obsolete,,,,,,False,Obsolete,12-22-2025
781913-01,https://www.digikey.com/en/products/detail/ni/781913-01/18710576,0.0,127.12,Active,https://www.newark.com/ni-emerson/781913-01/2-45-ghz-dual-band-vertical-antenna/dp/27AJ2446,0.0,113.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781915-01,https://www.digikey.com/en/products/detail/ni/781915-01/16818617,1.0,175.5,Active,https://www.newark.com/ni-emerson/781915-01/144-mhz-400-mhz-1200-mhz-tri-band/dp/27AJ2447,0.0,156.0,NO_LONGER_STOCKED,1.0,True,Active,12-22-2025
781918-01,https://www.digikey.com/en/products/detail/ni/781918-01/18709718,0.0,1528.88,Active,https://www.newark.com/ni/781918-01/rf-cable-vector-signal-analyzer/dp/14AJ5431,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781922-01,https://www.digikey.com/en/products/detail/ni/781922-01/15218923,9.0,265.5,Active,https://www.newark.com/ni/781922-01/ni-9924-terminal-block-25-pin/dp/13AJ4005,63.0,240.72,STOCKED,72.0,True,Active,12-22-2025
781945-01,https://www.digikey.com/en/products/detail/ni/781945-01/16647900,2.0,2676.38,Active,https://www.newark.com/ni-emerson/781945-01/sata-ssd-upgrade-mlc-300gb-2-5/dp/13AJ4006,0.0,2379.0,NO_LONGER_STOCKED,2.0,True,Active,12-22-2025
781946-01,https://www.digikey.com/en/products/detail/ni/781946-01/16648129,2.0,1089.0,Active,https://www.newark.com/ni-emerson/781946-01/disk-500gb-sata-2-5/dp/14AJ5433,0.0,968.0,NO_LONGER_STOCKED,2.0,True,Active,12-22-2025
781947-02,https://www.digikey.com/en/products/detail/ni/781947-02/16648049,0.0,477.0,Obsolete,https://www.newark.com/ni-emerson/781947-02/disk-250gb-5400rpm/dp/15AJ5769,0.0,491.0,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781950-01,https://www.digikey.com/en/products/detail/ni/781950-01/18709730,1.0,20.25,Active,https://www.newark.com/ni-emerson/781950-01/bnc-cable-ferrite-emi-suppression/dp/14AJ5434,0.0,18.0,NO_LONGER_STOCKED,1.0,True,Active,12-22-2025
781955-01,https://www.digikey.com/en/products/detail/ni/781955-01/15218945,0.0,826.12,Obsolete,https://www.newark.com/ni/781955-01/ni-9469-synchronization-module/dp/14AJ5435,6.0,913.92,STOCKED,6.0,True,Obsolete,12-22-2025
781955-02,https://www.digikey.com/en/products/detail/ni/781955-02/15218991,0.0,0.0,Obsolete,https://www.newark.com/ni/781955-02/ni-9469-synchronization-module/dp/14AJ5436,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
